Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
1,test,8x8,a07e394a3aa7ae71,347807c419c442cc,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,ok,8.0000000,8589.0000000,6.0000000,7352077929.0000000,8589934592.0000000,556359680.0000000
2,sc,16x64,ccba49f59c25188f,94851d61177380a4,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,51539.0000000,123.0000000,124025096908.0000000,51539607552.0000000,1370984448.0000000
1,test,16x32,b675726127c98864,7cc9d4eac119671c,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,8.0000000,34359.0000000,189.0000000,415586776890.0000000,34359738368.0000000,1835687936.0000000
1,test,4x8,43a989c42f3d3d75,04884078e3f2e51b,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,141490063.0000000,4080218112.0000000,7049216.0000000
1,test,32x32,25d8ab3bac7f4624,010fd420870c3145,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,error,,,,,,
1,sc,8x64,dd534d308c75b95a,0b4d350e1f841609,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,51539.0000000,127.0000000,127928911577.0000000,51539607552.0000000,1370996736.0000000
2,sc,16x64,ccba49f59c25188f,94851d61177380a4,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,8.0000000,51539.0000000,8.0000000,9317758033.0000000,51539607552.0000000,614813696.0000000
1,test,4x32,25cff7ee8ea5d460,dd1c302454c88bf6,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,4.0000000,34359.0000000,7.0000000,7596654369.0000000,34359738368.0000000,586391552.0000000
1,test,16x64,ece0cb9a8948e4c7,cc208ad4424347da,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,8.0000000,51539.0000000,201.0000000,448047167837.0000000,51539607552.0000000,1836163072.0000000
3,sc,4x32,560cdcfd9d597b92,bb82f0ba4d3d8f7d,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,1.0000000,144863089.0000000,4080218112.0000000,6901760.0000000
1,test,8x64,1e14379f398a166d,2527e2bcda78d625,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,51539.0000000,12.0000000,12882543620.0000000,51539607552.0000000,1000792064.0000000
2,sc,4x32,560cdcfd9d597b92,216f54459e50a359,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,4.0000000,34359.0000000,6.0000000,6558212099.0000000,34359738368.0000000,586502144.0000000
3,sc,8x8,aca839fb3864caa7,75b17110afdf68bb,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,8.0000000,8589.0000000,6.0000000,6529112115.0000000,8589934592.0000000,586334208.0000000
1,sc,4x16,805c7896c2c1870d,660f46f91fa45ca3,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,4.0000000,17179.0000000,3.0000000,3177207588.0000000,17179869184.0000000,81956864.0000000
2,sc,16x16,ff2aee17a9aff686,c176581a38dbe167,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,17179.0000000,124.0000000,125219157886.0000000,17179869184.0000000,1370443776.0000000
2,sc,4x32,560cdcfd9d597b92,216f54459e50a359,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,4.0000000,34359.0000000,271.0000000,687960926345.0000000,34359738368.0000000,1510817792.0000000
2,sc,16x64,ccba49f59c25188f,94851d61177380a4,read1 read2 cdna gtf,join1,unknown,ok,1.0000000,19327.0000000,1.0000000,879267138.0000000,19327352832.0000000,36573184.0000000
1,sc,16x32,d16a1d33d5356cee,a957292642670749,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,8.0000000,34359.0000000,3.0000000,3210632333.0000000,34359738368.0000000,81879040.0000000
2,sc,8x32,9dbfb99ce4c5e6e2,4178045b50f24e63,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,34359.0000000,125.0000000,125945935275.0000000,34359738368.0000000,1370476544.0000000
3,sc,16x16,ff2aee17a9aff686,f90bc1cf01daa755,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,17179.0000000,12.0000000,13158583774.0000000,17179869184.0000000,1000927232.0000000
1,test,32x64,e0f91e60d7f328eb,e14b500c0ba16b87,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,8.0000000,51539.0000000,3.0000000,3164458924.0000000,51539607552.0000000,81915904.0000000
3,sc,16x64,ccba49f59c25188f,d8711391b1b68be5,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,8.0000000,51539.0000000,3.0000000,3210994523.0000000,51539607552.0000000,81985536.0000000
1,test,8x16,51db8d7551b409da,78d8e268af958290,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,17179.0000000,12.0000000,13009032166.0000000,17179869184.0000000,1000779776.0000000
1,test,8x8,a07e394a3aa7ae71,347807c419c442cc,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,error,,,,,,
1,test,32x32,25d8ab3bac7f4624,010fd420870c3145,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,8.0000000,34359.0000000,7.0000000,6676224908.0000000,34359738368.0000000,586379264.0000000
1,test,4x8,43a989c42f3d3d75,04884078e3f2e51b,read1 read2 cdna gtf,join1,unknown,ok,1.0000000,19327.0000000,1.0000000,846046553.0000000,19327352832.0000000,36343808.0000000
2,sc,4x8,c6915ba255bde6c8,abb14564d826f0e0,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,4.0000000,8589.0000000,8.0000000,8471504804.0000000,8589934592.0000000,614862848.0000000
1,test,16x64,ece0cb9a8948e4c7,cc208ad4424347da,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,150586919.0000000,4080218112.0000000,6766592.0000000
2,sc,16x32,d16a1d33d5356cee,b45aa507f2bd03f8,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,34359.0000000,12.0000000,13215877198.0000000,34359738368.0000000,1000828928.0000000
3,sc,8x16,55684bf2f8f886d8,76d8fec06d245e4c,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,17179.0000000,9.0000000,10973641471.0000000,17179869184.0000000,664735744.0000000
2,sc,4x16,805c7896c2c1870d,d3cb0f7abcd6bb0a,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,error,,,,,,
1,sc,32x32,d7fc4231ac759eea,77a77984a27fb33d,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,34359.0000000,12.0000000,13082082979.0000000,34359738368.0000000,1000861696.0000000
3,sc,32x32,d7fc4231ac759eea,80a9296a8c4d0c9b,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,8.0000000,34359.0000000,3.0000000,3184988086.0000000,34359738368.0000000,81956864.0000000
1,sc,8x16,55684bf2f8f886d8,8627236ec8e58378,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,17179.0000000,12.0000000,12632649144.0000000,17179869184.0000000,1000656896.0000000
1,sc,4x64,f78bffa15f0ac0b9,b783e6a077e60e3c,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,4.0000000,51539.0000000,12.0000000,13027975534.0000000,51539607552.0000000,1000833024.0000000
1,test,16x16,11d223dacfc5a8cf,999fcdd418fffc48,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,8.0000000,17179.0000000,6.0000000,6515629532.0000000,17179869184.0000000,586252288.0000000
1,sc,8x32,9dbfb99ce4c5e6e2,3dbf7cd05ca6f727,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,142228873.0000000,4080218112.0000000,7041024.0000000
2,sc,8x32,9dbfb99ce4c5e6e2,4178045b50f24e63,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,8.0000000,34359.0000000,206.0000000,462403256499.0000000,34359738368.0000000,1586663424.0000000
1,sc,4x16,805c7896c2c1870d,660f46f91fa45ca3,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,4.0000000,17179.0000000,7.0000000,6577321667.0000000,17179869184.0000000,586563584.0000000
3,sc,8x32,9dbfb99ce4c5e6e2,f96e688c87950512,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,144495050.0000000,4080218112.0000000,7389184.0000000
2,sc,8x32,9dbfb99ce4c5e6e2,4178045b50f24e63,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,34359.0000000,9.0000000,10959683332.0000000,34359738368.0000000,664678400.0000000
1,test,32x64,e0f91e60d7f328eb,e14b500c0ba16b87,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,51539.0000000,128.0000000,130004836921.0000000,51539607552.0000000,1370877952.0000000
2,sc,8x64,dd534d308c75b95a,4a139a8f4a3d7355,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,8.0000000,51539.0000000,7.0000000,6692367627.0000000,51539607552.0000000,586555392.0000000
3,sc,4x64,f78bffa15f0ac0b9,62be42bd3447636c,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,error,,,,,,
3,sc,4x32,560cdcfd9d597b92,bb82f0ba4d3d8f7d,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,4.0000000,34359.0000000,193.0000000,417424863834.0000000,34359738368.0000000,1729634304.0000000
2,sc,16x32,d16a1d33d5356cee,b45aa507f2bd03f8,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,8.0000000,34359.0000000,185.0000000,400640016372.0000000,34359738368.0000000,1835859968.0000000
1,test,4x32,25cff7ee8ea5d460,dd1c302454c88bf6,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,4.0000000,34359.0000000,8.0000000,8912406365.0000000,34359738368.0000000,639737856.0000000
1,test,8x8,a07e394a3aa7ae71,347807c419c442cc,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,8589.0000000,7.0000000,8491261209.0000000,8589934592.0000000,639619072.0000000
1,sc,16x64,ccba49f59c25188f,d54b20a7091dae45,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,ok,8.0000000,51539.0000000,6.0000000,7411009013.0000000,51539607552.0000000,556498944.0000000
1,test,16x64,ece0cb9a8948e4c7,cc208ad4424347da,read1 read2 cdna gtf,join1,unknown,ok,1.0000000,19327.0000000,1.0000000,862413811.0000000,19327352832.0000000,36466688.0000000
3,sc,4x32,560cdcfd9d597b92,bb82f0ba4d3d8f7d,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,4.0000000,34359.0000000,7.0000000,8292784827.0000000,34359738368.0000000,639787008.0000000
1,test,16x32,b675726127c98864,7cc9d4eac119671c,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,34359.0000000,124.0000000,126083826388.0000000,34359738368.0000000,1370959872.0000000
2,sc,16x32,d16a1d33d5356cee,b45aa507f2bd03f8,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,ok,8.0000000,34359.0000000,6.0000000,6872311623.0000000,34359738368.0000000,556371968.0000000
1,sc,32x64,4cfe2c8c2d1e2b25,ba7d679b28f0dc14,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,51539.0000000,124.0000000,124514802714.0000000,51539607552.0000000,1370931200.0000000
1,test,16x64,ece0cb9a8948e4c7,cc208ad4424347da,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,51539.0000000,128.0000000,128916251145.0000000,51539607552.0000000,1370783744.0000000
1,sc,16x64,ccba49f59c25188f,d54b20a7091dae45,read1 read2 cdna gtf,join1,unknown,ok,1.0000000,19327.0000000,0E-7,879219047.0000000,19327352832.0000000,36720640.0000000
1,test,4x16,299723e8fa384352,9ec1e7464efbba41,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,4.0000000,17179.0000000,7.0000000,7806325889.0000000,17179869184.0000000,639639552.0000000
1,sc,4x64,f78bffa15f0ac0b9,b783e6a077e60e3c,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,4.0000000,51539.0000000,7.0000000,6564531881.0000000,51539607552.0000000,586448896.0000000
1,sc,16x32,d16a1d33d5356cee,a957292642670749,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,error,8.0000000,34359.0000000,136.0000000,344969319246.0000000,34359738368.0000000,751607808.0000000
2,sc,8x8,aca839fb3864caa7,bb57f91724121755,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,8589.0000000,131.0000000,131717954709.0000000,8589934592.0000000,1370992640.0000000
2,sc,4x64,f78bffa15f0ac0b9,cabb613a29648a1d,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,4.0000000,51539.0000000,7.0000000,8507123583.0000000,51539607552.0000000,614862848.0000000
1,test,4x16,299723e8fa384352,9ec1e7464efbba41,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,4.0000000,17179.0000000,12.0000000,12546341977.0000000,17179869184.0000000,1000738816.0000000
1,test,16x32,b675726127c98864,7cc9d4eac119671c,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,8.0000000,34359.0000000,3.0000000,3227383149.0000000,34359738368.0000000,81973248.0000000
2,sc,4x64,f78bffa15f0ac0b9,cabb613a29648a1d,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,4.0000000,51539.0000000,189.0000000,402738093296.0000000,51539607552.0000000,1730301952.0000000
1,sc,16x16,ff2aee17a9aff686,09d5289a6395c9fb,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,17179.0000000,12.0000000,13523004357.0000000,17179869184.0000000,1000816640.0000000
2,sc,4x64,f78bffa15f0ac0b9,cabb613a29648a1d,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,4.0000000,51539.0000000,10.0000000,10295047146.0000000,51539607552.0000000,664858624.0000000
1,sc,8x32,9dbfb99ce4c5e6e2,3dbf7cd05ca6f727,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,ok,8.0000000,34359.0000000,6.0000000,6883413826.0000000,34359738368.0000000,556294144.0000000
1,test,32x32,25d8ab3bac7f4624,010fd420870c3145,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,145681413.0000000,4080218112.0000000,7020544.0000000
1,test,16x16,11d223dacfc5a8cf,999fcdd418fffc48,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,8.0000000,17179.0000000,8.0000000,8849073142.0000000,17179869184.0000000,615436288.0000000
1,test,16x16,11d223dacfc5a8cf,999fcdd418fffc48,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,17179.0000000,12.0000000,12949901432.0000000,17179869184.0000000,1000767488.0000000
1,test,8x32,a4c3d29b64b78c74,937397ba929bae8a,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,8.0000000,34359.0000000,3.0000000,3257470330.0000000,34359738368.0000000,81924096.0000000
1,test,8x16,51db8d7551b409da,78d8e268af958290,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,ok,8.0000000,17179.0000000,6.0000000,7332301860.0000000,17179869184.0000000,556224512.0000000
2,sc,4x32,560cdcfd9d597b92,216f54459e50a359,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,ok,4.0000000,34359.0000000,6.0000000,6568841216.0000000,34359738368.0000000,556392448.0000000
1,test,8x32,a4c3d29b64b78c74,937397ba929bae8a,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,34359.0000000,8.0000000,8751162666.0000000,34359738368.0000000,639627264.0000000
1,sc,32x64,4cfe2c8c2d1e2b25,ba7d679b28f0dc14,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,8.0000000,51539.0000000,187.0000000,405089453124.0000000,51539607552.0000000,1835921408.0000000
1,test,4x64,4121e2846f4f1260,1c38aa6002165bf5,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,4.0000000,51539.0000000,9.0000000,9174531586.0000000,51539607552.0000000,615297024.0000000
3,sc,8x16,55684bf2f8f886d8,76d8fec06d245e4c,read1 read2 cdna gtf,join1,unknown,ok,1.0000000,19327.0000000,1.0000000,867892951.0000000,19327352832.0000000,36286464.0000000
1,sc,16x16,ff2aee17a9aff686,09d5289a6395c9fb,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,8.0000000,17179.0000000,220.0000000,669578794172.0000000,17179869184.0000000,1618132992.0000000
1,test,8x8,a07e394a3aa7ae71,347807c419c442cc,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,8.0000000,8589.0000000,143.0000000,144449693600.0000000,8589934592.0000000,1370775552.0000000
1,test,4x32,25cff7ee8ea5d460,dd1c302454c88bf6,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,4.0000000,34359.0000000,200.0000000,442214701423.0000000,34359738368.0000000,1729515520.0000000
1,sc,16x16,ff2aee17a9aff686,09d5289a6395c9fb,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,8.0000000,17179.0000000,189.0000000,410452842009.0000000,17179869184.0000000,1836523520.0000000
1,sc,8x16,55684bf2f8f886d8,8627236ec8e58378,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,8.0000000,17179.0000000,7.0000000,6736952862.0000000,17179869184.0000000,586358784.0000000
2,sc,16x32,d16a1d33d5356cee,b45aa507f2bd03f8,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,8.0000000,34359.0000000,8.0000000,9308947137.0000000,34359738368.0000000,614866944.0000000
1,test,4x16,299723e8fa384352,9ec1e7464efbba41,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,4.0000000,17179.0000000,6.0000000,6653088691.0000000,17179869184.0000000,586465280.0000000
3,sc,4x32,560cdcfd9d597b92,bb82f0ba4d3d8f7d,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,4.0000000,34359.0000000,10.0000000,10140933158.0000000,34359738368.0000000,664698880.0000000
1,test,4x64,4121e2846f4f1260,1c38aa6002165bf5,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,4.0000000,51539.0000000,210.0000000,459721616739.0000000,51539607552.0000000,1479311360.0000000
2,sc,4x16,805c7896c2c1870d,d3cb0f7abcd6bb0a,read1 read2 cdna gtf,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,4.0000000,17179.0000000,10.0000000,10408805378.0000000,17179869184.0000000,664772608.0000000
